"PRECID","PFIRM","POFFIC","PACCT","PATYPE","PCTYM","PSTRIK","PTDATE","PBS","PTRACE","PSPRED","PCLASS","PQTY","PMKVAL","PLTDAT","PEXCH","PFC","PTRDEX","PCLOSE","POC","PCARD","PGIVIO","PGIVF#","PORDTY","PDELET","PDEST","PUSER","PTPRIC","PSNAME","PSDSC1","PPRTPR","PPRTCP","PNET","PBQTY","PSQTY","PCUSIP","PFEE1","PFEE2","PFEE3","PFEE4","PFEE5","PFEE6","PFEE7","PFEE8","PFEE9","PGICHG","PBKCHG","POTHER","PFUFE1","PFUFE2","PFUFE3","PFUFE4","PFUFE5","PFUFE6","PFUFE7","PFUFE8","PFUFE9","PFUGIV","PFUBKG","PFUOTH","PDELTA","PCOMM","PDEAL","PSDATE","PUNDCP","PCMNT1"
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210118","1","1A18  4Y70"," ","T","10.0000","13000.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTBRAUN ","5.32000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.32    ","   5.58    ","0.00","10.0000","0.0000",".AC-0000021E","-5.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-6.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210118","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210119","1","1A19 BVMY0"," ","T","10.0000","12500.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTBRAUN ","5.33000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.33    ","   5.58    ","0.00","10.0000","0.0000",".AC-0000021E","-5.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-6.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210119","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210129","1","1A29 C0SR0"," ","T","5.0000","6000.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTBRAUN ","5.34000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.34    ","   5.58    ","0.00","5.0000","0.0000",".AC-0000021E","-2.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-3.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210129","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210211","1","1B11 DRRG0"," ","T","1.0000","1400.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTBRAUN ","5.30000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.30    ","   5.58    ","0.00","1.0000","0.0000",".AC-0000021E","-0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.60","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210211","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210212","1","1B12 DYQI0"," ","T","2.0000","2300.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTBRAUN ","5.35000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.35    ","   5.58    ","0.00","2.0000","0.0000",".AC-0000021E","-1.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.20","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210212","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210217","1","1B17 EFUK0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTBRAUN ","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210217","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210219","1","1B19 DQRQ0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210219","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210223","1","1B23 FU1W0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210223","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210224","1","1B24 E3IJ0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210224","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210225","1","1B25 D2TQ0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210225","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210301","1","1C01 DOSW0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210301","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210302","1","1C02 BOPW0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210302","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210303","1","1C03 DVKO0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210303","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210304","1","1C04 BXVN0"," ","T","3.0000","1200.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","5.50000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","   5.50    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210304","0.00000000","  "
"P","G","1T1","XXXXX","U1","202105","0.00000000","20210309","1","1C09 BTMT0"," ","T","3.0000","80850.00","20210514","01","C-","01","5.58000000"," ","TEST","  ","     ","   "," ","B","FCSTLUFRAN","0.19000000","GAVILON TEST ACCT   ","MAY 21 CBT CORN               ","    .19    ","   5.58    ","0.00","3.0000","0.0000",".AC-0000021E","-1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-1.80","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210309","0.00000000","  "
