"PRECID","PFIRM","POFFIC","PACCT","PATYPE","PCTYM","PSTRIK","PTDATE","PBS","PTRACE","PSPRED","PCLASS","PQTY","PMKVAL","PLTDAT","PEXCH","PFC","PTRDEX","PCLOSE","POC","PCARD","PGIVIO","PGIVF#","PORDTY","PDELET","PDEST","PUSER","PTPRIC","PSNAME","PSDSC1","PPRTPR","PPRTCP","PNET","PBQTY","PSQTY","PCUSIP","PFEE1","PFEE2","PFEE3","PFEE4","PFEE5","PFEE6","PFEE7","PFEE8","PFEE9","PGICHG","PBKCHG","POTHER","PFUFE1","PFUFE2","PFUFE3","PFUFE4","PFUFE5","PFUFE6","PFUFE7","PFUFE8","PFUFE9","PFUGIV","PFUBKG","PFUOTH","PDELTA","PCOMM","PDEAL","PSDATE","PUNDCP","PCMNT1"
"P","G","1G1","10000","U1","202107","0.00000000","20210513","2","1E13 CMCX0"," ","N","1.0000","175.00","20210714","01","C-","01","6.88750000"," ","0589","  ","     ","  L"," ","B","173041    ","6.92250000","GAVILON             ","JUL 21 CBT CORN               ","   6.92 1/4","   6.88 3/4","0.00","0.0000","1.0000",".AC-0000021G","-0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.50","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210513","0.00000000"," E"
"P","G","1G1","10000","U1","202107","0.00000000","20210601","1","1F01 EAV60"," ","N","1.0000","6437.50","20210714","01","C-","01","6.88750000"," ","    ","  ","     ","   "," ","B","FCSOPER   ","5.60000000","GAVILON             ","JUL 21 CBT CORN               ","   5.60    ","   6.88 3/4","0.00","1.0000","0.0000",".AC-0000021G","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","-0.31","       ","20210601","0.00000000"," W"
"P","G","1G1","10000","U1","202107","0.00000000","20210601","1","1F01 EAV80"," ","N","1.0000","37.50","20210714","01","C-","01","6.88750000"," ","    ","  ","     ","   "," ","B","FCSOPER   ","6.88000000","GAVILON             ","JUL 21 CBT CORN               ","   6.88    ","   6.88 3/4","0.00","1.0000","0.0000",".AC-0000021G","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","-0.31","       ","20210601","0.00000000"," W"
"P","G","1G1","10000","U1","202107","0.00000000","20210513","2","1E13 DMGL0"," ","N","1.0000","737.50","20210714","01","KW","01","6.37500000"," ","6962","  ","     ","  L"," ","B","173041    ","6.52250000","GAVILON             ","JUL 21 KCBT WHEAT             ","   6.52 1/4","   6.37 1/2","0.00","0.0000","1.0000",".AKW0000021G","-0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.50","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210513","0.00000000"," E"
"P","G","1G1","20000","U1","202107","0.00000000","20210513","1","1E13 CMEI0"," ","N","1.0000","-175.00","20210714","01","C-","01","6.88750000"," ","5888","  ","     ","  L"," ","B","173041    ","6.92250000","GAVILON             ","JUL 21 CBT CORN               ","   6.92 1/4","   6.88 3/4","0.00","1.0000","0.0000",".AC-0000021G","-0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.50","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210513","0.00000000"," E"
"P","G","1G1","20000","U1","202107","0.00000000","20210601","2","1F01 EAV70"," ","N","1.0000","-6437.50","20210714","01","C-","01","6.88750000"," ","    ","  ","     ","   "," ","B","FCSOPER   ","5.60000000","GAVILON             ","JUL 21 CBT CORN               ","   5.60    ","   6.88 3/4","0.00","0.0000","1.0000",".AC-0000021G","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","-0.31","       ","20210601","0.00000000"," W"
"P","G","1G1","20000","U1","202107","0.00000000","20210601","2","1F01 EAV90"," ","N","1.0000","-37.50","20210714","01","C-","01","6.88750000"," ","    ","  ","     ","   "," ","B","FCSOPER   ","6.88000000","GAVILON             ","JUL 21 CBT CORN               ","   6.88    ","   6.88 3/4","0.00","0.0000","1.0000",".AC-0000021G","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","-0.31","       ","20210601","0.00000000"," W"
"P","G","1G1","20000","U1","202107","0.00000000","20210513","1","1E13 DMHK0"," ","N","1.0000","-737.50","20210714","01","KW","01","6.37500000"," ","5760","  ","     ","  L"," ","B","173041    ","6.52250000","GAVILON             ","JUL 21 KCBT WHEAT             ","   6.52 1/4","   6.37 1/2","0.00","1.0000","0.0000",".AKW0000021G","-0.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.50","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210513","0.00000000"," E"
"P","F","MON","87550","U1","202107","0.00000000","20210513","2","G1G1*10000"," ","C","1.0000","175.00","20210714","01","C-","01","6.88750000"," ","0589","  ","     ","  L"," ","B","173041    ","6.92250000","GAVILON GLOBAL AG   ","JUL 21 CBT CORN               ","   6.92 1/4","   6.88 3/4","0.00","0.0000","1.0000",".AC-0000021G","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210513","0.00000000"," E"
"P","F","MON","87550","U1","202107","0.00000000","20210513","1","G1G1*20000"," ","C","1.0000","-175.00","20210714","01","C-","01","6.88750000"," ","5888","  ","     ","  L"," ","B","173041    ","6.92250000","GAVILON GLOBAL AG   ","JUL 21 CBT CORN               ","   6.92 1/4","   6.88 3/4","0.00","1.0000","0.0000",".AC-0000021G","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","C"," ","C","C"," ","C","C"," "," "," ","C","C","0.0000","0.00","       ","20210513","0.00000000"," E"
