created_at,tweet_id,tweet_text,screen_name,name,account_creation_date,urls
2021-04-22 22:04:27,1385353835200368641,@ActingTheGom @var_dee I suspect they are too busy frantically doing a big spring clean on their digital database 🤔🤔🤔,potstyx,Póilín Deire an Bhaile🏴‍☠️,Mon May 18 19:58:05 +0000 2009,[]
2021-04-22 21:52:30,1385350826831622146,"RT @ActingTheGom: I note the general lack of ferocity in attack from FFG on Sinn Feins use of voter data.

Curious.",IrelandPolitico,I R I S H T W I T T E R,Mon Nov 02 19:10:20 +0000 2020,[]
2021-04-22 21:37:57,1385347167078989827,"RT @ActingTheGom: I note the general lack of ferocity in attack from FFG on Sinn Feins use of voter data.

Curious.",var_dee,Dee,Thu Dec 13 01:25:29 +0000 2012,[]
2021-04-22 21:37:33,1385347066260606976,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",Seanie4you,seánieD is Tired of corrupt FFFG and PBP,Tue Jul 30 19:07:04 +0000 2019,[]
2021-04-22 21:21:46,1385343091238871041,@Glenn87319788 @ActingTheGom It is in reasonable states/countries!,scapegoatandi,Raggedy Andi,Tue Jan 05 16:43:51 +0000 2021,[]
2021-04-22 21:08:38,1385339789956816898,@ActingTheGom Thanks to Stephen for ramping up the testing... Remember to mention him in yer tweets.... https://t.co/zIYt0CwDIM,paulsmithie07,Paul smith 🍀,Thu Nov 08 16:28:00 +0000 2012,[]
2021-04-22 20:55:53,1385336580764733441,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",5786Michael,Michael Daly,Thu Dec 06 20:54:26 +0000 2012,[]
2021-04-22 20:39:50,1385332540781760517,@ActingTheGom Ah sure poor David.he hasn’t a clue..I feel sorry for him.,paulgur,paul gurney,Mon May 17 17:07:47 +0000 2010,[]
2021-04-22 20:34:11,1385331116735881220,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",MCOR1963,Mary O Riordan,Mon Aug 25 15:37:59 +0000 2014,[]
2021-04-22 20:34:03,1385331083655499785,@ActingTheGom Choke me economy daddy,LifeandtimesM,Wayne 🏴‍☠️,Mon May 28 16:07:06 +0000 2018,[]
2021-04-22 20:32:55,1385330797679456258,RT @ActingTheGom: Billionaires don't make economies they choke economies.,PaulaScanlon7,Paula,Mon Oct 26 17:58:39 +0000 2020,[]
2021-04-22 20:05:09,1385323811004878853,@killianodris @ActingTheGom @SeanMoncrieff very good 🤣🤣🤣🤣,JohnKir001,John Kirwan,Tue Jun 21 19:39:07 +0000 2016,[]
2021-04-22 19:38:29,1385317100256911363,RT @ActingTheGom: Billionaires don't make economies they choke economies.,BrianDBourke,Loki De Búrca,Fri Jun 29 08:50:25 +0000 2012,[]
2021-04-22 19:35:38,1385316381810429955,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",theactualcathal,Orson Madfellow,Mon Jun 27 13:16:52 +0000 2011,[]
2021-04-22 19:34:49,1385316179955290113,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",bastokrider,Bastokrider,Fri Dec 28 11:33:17 +0000 2018,[]
2021-04-22 19:30:40,1385315135703638028,@ActingTheGom Captain Lightbulb strikes again. Poor @McManusDavid thinks he's endearing himself to FG's overlords w… https://t.co/3htzswOBKB,kevintoconnor,Kevin O'Connor 🏴‍☠️,Wed Feb 05 11:29:44 +0000 2014,"[{'url': 'https://t.co/3htzswOBKB', 'expanded_url': 'https://twitter.com/i/web/status/1385315135703638028', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]"
2021-04-22 19:29:26,1385314825484517377,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",AntoinBeag,Minister for the gays,Tue Sep 01 14:15:41 +0000 2015,[]
2021-04-22 19:28:53,1385314687148036100,@ActingTheGom @paulsmithie07 https://t.co/duRKeZD53f,endohan,Éanna Ó hAnluain,Mon Jun 15 19:16:47 +0000 2009,[]
2021-04-22 19:27:30,1385314335082356736,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",kevintoconnor,Kevin O'Connor 🏴‍☠️,Wed Feb 05 11:29:44 +0000 2014,[]
2021-04-22 19:16:09,1385311481273651202,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",KevLar6B,Kevin Larkin,Fri Mar 11 22:23:45 +0000 2011,[]
2021-04-22 19:15:25,1385311297139523585,RT @ActingTheGom: Billionaires don't make economies they choke economies.,TrumanKelly,Ned Kelly 🏴‍☠️,Wed Jul 25 19:37:12 +0000 2012,[]
2021-04-22 19:14:32,1385311074564681737,@ActingTheGom Their media based hounds have been doing that for them.,rfwalsh86,Roibeárd Breathnach 🇮🇪,Thu Aug 05 19:14:28 +0000 2010,[]
2021-04-22 19:11:55,1385310417321349121,"RT @ActingTheGom: I don't care what party David is in, he's just a thick, plain and simple. https://t.co/f3borIQJTM",Cork88eire,Ronnie Jackson 🏴‍☠️,Sun Oct 15 23:08:55 +0000 2017,[]
2021-04-22 19:08:13,1385309484931850240,@ActingTheGom I would guess FG as even FF would try to hide their Neo-Liberal agenda's......,storminnormin01,Norman McCormick🏴‍☠️ Wear a Smile-No to FFGP🏴‍☠️,Mon Nov 08 09:16:28 +0000 2010,[]
